,0
Pilha_1,<gurobi.Var C15 (value -0.0)>
Pilha_2,<gurobi.Var C16 (value -0.0)>
Pilha_3,<gurobi.Var C17 (value 1700.0)>
Pilha_4,<gurobi.Var C18 (value 660.0000000000039)>
Pilha_5,<gurobi.Var C19 (value 550.0)>
Pilha_6,<gurobi.Var C20 (value -0.0)>
Pilha_7,<gurobi.Var C21 (value -0.0)>
Pilha_8,<gurobi.Var C22 (value -0.0)>
Pilha_9,<gurobi.Var C23 (value -0.0)>
Pilha_10,<gurobi.Var C24 (value 850.0000000000081)>
Pilha_11,<gurobi.Var C25 (value -0.0)>
Pilha_12,<gurobi.Var C26 (value -0.0)>
Pilha_13,<gurobi.Var C27 (value 990.0)>
Pilha_14,<gurobi.Var C28 (value -0.0)>
Pilha_15,<gurobi.Var C29 (value 1249.9999999999882)>
