,0
Pilha_1,<gurobi.Var C0 (value 0.0)>
Pilha_2,<gurobi.Var C1 (value -0.0)>
Pilha_3,<gurobi.Var C2 (value 1.0)>
Pilha_4,<gurobi.Var C3 (value 1.0)>
Pilha_5,<gurobi.Var C4 (value 1.0)>
Pilha_6,<gurobi.Var C5 (value -0.0)>
Pilha_7,<gurobi.Var C6 (value -0.0)>
Pilha_8,<gurobi.Var C7 (value -0.0)>
Pilha_9,<gurobi.Var C8 (value 0.0)>
Pilha_10,<gurobi.Var C9 (value 1.0)>
Pilha_11,<gurobi.Var C10 (value -0.0)>
Pilha_12,<gurobi.Var C11 (value -0.0)>
Pilha_13,<gurobi.Var C12 (value 1.0)>
Pilha_14,<gurobi.Var C13 (value -0.0)>
Pilha_15,<gurobi.Var C14 (value 1.0)>
