Pilha,Fe ,Al2O3 ,P ,PPC,He,Massa(ton)
1,42.605,0.286,0.047,0.692,66,935
2,52.382,0.29,0.054,4.526,56,1311
3,52.629,0.566,0.0819,2.063,86,1188
4,48.26,0.177,0.032,0.735,32,908
5,49.019,0.285,0.071,2.084,56,1330
6,43.869,0.639,0.046,4.78,85,1510
7,48.096,0.737,0.046,2.3,6,966
8,48.574,0.642,0.078,1.119,58,1602
9,48.636,0.198,0.036,2.698,52,1788
10,49.328,0.869,0.074,3.67,87,1198
11,40.652,0.608,0.065,4.056,1,1954
12,51.776,0.917,0.042,4.293,48,1196
13,48.387,0.166,0.052,3.111,72,1337
14,41.967,0.341,0.0819,4.39,2,908
15,51.504,0.51,0.075,1.412,74,1802
