Pilha,Fe ,Al2O3 ,P ,PPC,He,Massa(ton)
1,52.64,0.52,0.084,4.48,45,1500
2,39.92,0.18,0.0289,0.65,97,2000
3,47.19,0.5,0.05,2.52,52,1700
4,49.36,0.22,0.039,1.74,78,1450
5,43.94,0.46,0.032,2.36,41,1250
6,48.97,0.54,0.057,4.34,90,1890
7,47.46,0.2,0.047,5.07,9,1640
8,46.52,0.32,0.039,3.51,4,1124
9,56.09,0.95,0.0590,4.1,80,1990
10,46.0,0.26,0.031,2.51,21,900
11,49.09,0.22,0.04,4.2,12,1540
12,49.77,0.2,0.047,4.81,12,1630
13,53.03,0.24,0.047,4.17,1,1320
14,52.96,0.29,0.052,4.81,1,1245
15,42.09,0.17,0.031,1.38,47,1859
